FILE	ACC	NAME	DESC
PF00164.20.hmm	PF00164.20	Ribosom_S12_S23	Ribosomal protein S12/S23
PF00177.16.hmm	PF00177.16	Ribosomal_S7	Ribosomal protein S7p/S5e
PF00181.18.hmm	PF00181.18	Ribosomal_L2	Ribosomal Proteins L2, RNA binding domain
PF00189.15.hmm	PF00189.15	Ribosomal_S3_C	Ribosomal protein S3, C-terminal domain
PF00203.16.hmm	PF00203.16	Ribosomal_S19	Ribosomal protein S19
PF00237.14.hmm	PF00237.14	Ribosomal_L22	Ribosomal protein L22p/L17e
PF00238.14.hmm	PF00238.14	Ribosomal_L14	Ribosomal protein L14p/L23e
PF00252.13.hmm	PF00252.13	Ribosomal_L16	Ribosomal protein L16p/L10e
PF00276.15.hmm	PF00276.15	Ribosomal_L23	Ribosomal protein L23
PF00281.14.hmm	PF00281.14	Ribosomal_L5	Ribosomal protein L5
PF00297.17.hmm	PF00297.17	Ribosomal_L3	Ribosomal protein L3
PF00298.14.hmm	PF00298.14	Ribosomal_L11	Ribosomal protein L11, RNA binding domain
PF00312.17.hmm	PF00312.17	Ribosomal_S15	Ribosomal protein S15
PF00318.15.hmm	PF00318.15	Ribosomal_S2	Ribosomal protein S2
PF00333.15.hmm	PF00333.15	Ribosomal_S5	Ribosomal protein S5, N-terminal domain
PF00366.15.hmm	PF00366.15	Ribosomal_S17	Ribosomal protein S17
PF00380.14.hmm	PF00380.14	Ribosomal_S9	Ribosomal protein S9/S16
PF00410.14.hmm	PF00410.14	Ribosomal_S8	Ribosomal protein S8
PF00411.14.hmm	PF00411.14	Ribosomal_S11	Ribosomal protein S11
PF00466.15.hmm	PF00466.15	Ribosomal_L10	Ribosomal protein L10
PF00562.23.hmm	PF00562.23	RNA_pol_Rpb2_6	RNA polymerase Rpb2, domain 6
PF00572.13.hmm	PF00572.13	Ribosomal_L13	Ribosomal protein L13
PF00573.17.hmm	PF00573.17	Ribosomal_L4	Ribosomal protein L4/L1 family
PF00623.15.hmm	PF00623.15	RNA_pol_Rpb1_2	RNA polymerase Rpb1, domain 2
PF00673.16.hmm	PF00673.16	Ribosomal_L5_C	ribosomal L5P family C-terminus
PF00687.16.hmm	PF00687.16	Ribosomal_L1	Ribosomal protein L1p/L10e family
PF00831.18.hmm	PF00831.18	Ribosomal_L29	Ribosomal L29 protein
PF00861.17.hmm	PF00861.17	Ribosomal_L18p	Ribosomal L18p/L5e family
PF01192.17.hmm	PF01192.17	RNA_pol_Rpb6	RNA polymerase Rpb6
PF01509.13.hmm	PF01509.13	TruB_N	TruB family pseudouridylate synthase (N terminal domain)
PF02978.14.hmm	PF02978.14	SRP_SPB	Signal peptide binding domain
PF03719.10.hmm	PF03719.10	Ribosomal_S5_C	Ribosomal protein S5, C-terminal domain
PF03946.9.hmm	PF03946.9	Ribosomal_L11_N	Ribosomal protein L11, N-terminal domain
PF03947.13.hmm	PF03947.13	Ribosomal_L2_C	Ribosomal Proteins L2, C-terminal domain
PF04560.15.hmm	PF04560.15	RNA_pol_Rpb2_7	RNA polymerase Rpb2, domain 7
PF04561.9.hmm	PF04561.9	RNA_pol_Rpb2_2	RNA polymerase Rpb2, domain 2
PF04563.10.hmm	PF04563.10	RNA_pol_Rpb2_1	RNA polymerase beta subunit
PF04565.11.hmm	PF04565.11	RNA_pol_Rpb2_3	RNA polymerase Rpb2, domain 3
PF04997.7.hmm	PF04997.7	RNA_pol_Rpb1_1	RNA polymerase Rpb1, domain 1
PF05000.12.hmm	PF05000.12	RNA_pol_Rpb1_4	RNA polymerase Rpb1, domain 4
PF11987.3.hmm	PF11987.3	IF-2	Translation-initiation factor 2
TIGR00344.hmm	TIGR00344	TIGR00344	alaS: alanine--tRNA ligase
TIGR00422.hmm	TIGR00422	TIGR00422	valS: valine--tRNA ligase
