FILE	ACC	NAME	DESC
PF00368.13.hmm	PF00368.13	HMG-CoA_red	Hydroxymethylglutaryl-coenzyme A reductase
PF00410.14.hmm	PF00410.14	Ribosomal_S8	Ribosomal protein S8
PF00466.15.hmm	PF00466.15	Ribosomal_L10	Ribosomal protein L10
PF00687.16.hmm	PF00687.16	Ribosomal_L1	Ribosomal protein L1p/L10e family
PF00827.12.hmm	PF00827.12	Ribosomal_L15e	Ribosomal L15
PF00900.15.hmm	PF00900.15	Ribosomal_S4e	Ribosomal family S4e
PF01000.21.hmm	PF01000.21	RNA_pol_A_bac	RNA polymerase Rpb3/RpoA insert domain
PF01015.13.hmm	PF01015.13	Ribosomal_S3Ae	Ribosomal S3Ae family
PF01090.14.hmm	PF01090.14	Ribosomal_S19e	Ribosomal protein S19e
PF01092.14.hmm	PF01092.14	Ribosomal_S6e	Ribosomal protein S6e
PF01157.13.hmm	PF01157.13	Ribosomal_L21e	Ribosomal protein L21e
PF01191.14.hmm	PF01191.14	RNA_pol_Rpb5_C	RNA polymerase Rpb5, C-terminal domain
PF01194.12.hmm	PF01194.12	RNA_pol_N	RNA polymerases N / 8 kDa subunit
PF01198.14.hmm	PF01198.14	Ribosomal_L31e	Ribosomal protein L31e
PF01200.13.hmm	PF01200.13	Ribosomal_S28e	Ribosomal protein S28e
PF01269.12.hmm	PF01269.12	Fibrillarin	Fibrillarin
PF01280.15.hmm	PF01280.15	Ribosomal_L19e	Ribosomal protein L19e
PF01282.14.hmm	PF01282.14	Ribosomal_S24e	Ribosomal protein S24e
PF01496.14.hmm	PF01496.14	V_ATPase_I	V-type ATPase 116kDa subunit family
PF01655.13.hmm	PF01655.13	Ribosomal_L32e	Ribosomal protein L32
PF01798.13.hmm	PF01798.13	Nop	Putative snoRNA binding domain
PF01864.12.hmm	PF01864.12	DUF46	Putative integral membrane protein DUF46
PF01866.12.hmm	PF01866.12	Diphthamide_syn	Putative diphthamide synthesis protein
PF01868.11.hmm	PF01868.11	UPF0086	Domain of unknown function UPF0086
PF01984.15.hmm	PF01984.15	dsDNA_bind	Double-stranded DNA-binding domain
PF01990.12.hmm	PF01990.12	ATP-synt_F	ATP synthase (F/14-kDa) subunit
PF02006.11.hmm	PF02006.11	DUF137	Protein of unknown function DUF137
PF02978.14.hmm	PF02978.14	SRP_SPB	Signal peptide binding domain
PF03874.11.hmm	PF03874.11	RNA_pol_Rpb4	RNA polymerase Rpb4
PF04019.7.hmm	PF04019.7	DUF359	Protein of unknown function (DUF359)
PF04104.9.hmm	PF04104.9	DNA_primase_lrg	Eukaryotic and archaeal DNA primase, large subunit
